Student_ID,Student_Name,Batch_Year,Year_of_Study,Programme,Department,Mess_Hall_Assigned,Home_State,Home_Region,Dietary_Preference,Non_Veg_Frequency,Veg_Preference_Strength,Food_Allergy,Mess_Plan_Type,Monthly_Mess_Fee_INR,Registration_Date,Exit_Date,Is_Active,Avg_Attendance_Rate,Avg_Taste_Rating_Given,Preferred_Cuisine,Feedback_Participation_Rate,Scholarship_Holder,Hometown_Distance_km
S1032,Theodore Devi,2017,5,PhD,BT,MH_A,Goa,West,Non_Veg,Rarely,,,Full_Board,3500,2017-07-14,"March 22, 2017",False,0.924,3.6,,0.366,False,339.0
S1033,Gavin Batta,2017,5,B.Tech,ECE,MH_G,Madhya Pradesh,Central,Veg,,Flexible,None,Lunch_Dinner,3500,2017-07-07,15/05/2021,False,0.79,2.86,North_Indian,0.315,False,330.0
S1034,Michael Dutta,2017,5,B.Tech,ME,MH_A,Uttar Pradesh,North,Veg,,Flexible,None,Full_Board,3500,"July 07, 2017",24/05/2021,False,0.721,2.96,,0.571,False,217.0
S1035,Devansh Rajan,2017,5,B.Tech,ME,MH_A,Kerala,South,Veg,,Strict,None,Custom,3500,2017-07-10,2021-05-29,False,0.788,3.85,North_Indian,0.429,,471.0
S1036,Upadhriti Wadhwa,2017,5,PhD,CSE,MH_A,Andhra Pradesh,South,Veg,,Strict,,Full_Board,3500,"July 07, 2017",2017-03-24,False,0.84,3.19,No_Preference,0.114,False,714.0
S1037,Advay Contractor,2017,5,PhD,CE,MH_A,Nagaland,Northeast,Veg,,Indifferent,,Lunch_Dinner,3500,19/07/2017,2016-11-09,False,0.674,4.61,North_Indian,0.544,,1317.0
S1038,Harini Choudhury,2017,5,M.Tech,ME,MH_A,Tripura,Northeast,Non_Veg,Weekly_Once,,None,Full_Board,3500,"July 15, 2017","December 08, 2016",False,0.76,4.07,South_Indian,0.474,False,168.0
S1039,Radhika Dugar,2017,5,M.Tech,ME,MH_A,Madhya Pradesh,Central,Veg,,Flexible,None,Lunch_Dinner,3500,2017-07-14,2019-05-18,False,0.714,2.42,South_Indian,0.7,,146.0
S1040,Aarush Lall,2017,5,B.Tech,CE,MH_G,Punjab,North,Eggetarian,Weekly_Once,,None,Breakfast_Only,3500,2017-07-16,2021-05-23,False,0.743,4.11,North_Indian,0.775,True,1182.0
S1041,Yashica Cherian,2017,5,B.Tech,CE,MH_B,Kerala,South,Veg,,Flexible,Nut,Lunch_Dinner,3500,2017-07-03,2021-05-21,False,0.613,4.39,South_Indian,0.718,True,933.0
S1042,Yashica Issac,2017,5,M.Tech,BT,MH_A,Karnataka,South,Non_Veg,Daily,,None,Full_Board,3500,2017-07-07,2019-05-16,False,0.81,2.07,North_Indian,0.632,False,1619.0
S1043,Kashvi Edwin,2017,5,B.Tech,ME,MH_B,Jharkhand,East,Non_Veg,Daily,,,Full_Board,3500,2017-07-11,2021-05-19,False,0.712,2.02,North_Indian,0.11,False,253.0
S1044,Ekiya Suresh,2017,5,B.Tech,ECE,MH_A,Maharashtra,West,Non_Veg,Weekly_Once,,None,Full_Board,3500,2017-07-17,28/05/2021,False,1.234906859700963,2.41,North_Indian,0.573,,684.0
S1045,Isaac Patil,2017,5,PhD,ME,MH_B,Odisha,East,Veg,,Flexible,,Full_Board,3500,03/07/2017,"May 20, 2022",False,0.775,2.76,South_Indian,0.227,True,784.0
S1046,Wriddhish Bhardwaj,2017,5,B.Tech,CSE,MH_G,West Bengal,East,Vegan,,,,Full_Board,3500,2017-07-02,2021-05-18,False,0.717,2.45,South_Indian,0.486,,113.0
S1047,Farhan Chada,2017,5,B.Tech,ECE,MH_A,West Bengal,East,Vegan,,,None,Full_Board,3500,2017-07-12,2021-05-17,False,0.83,3.33,North_Indian,0.352,True,701.0
S1048,Ekapad Walia,2017,5,M.Tech,CE,MH_G,Sikkim,Northeast,Non_Veg,Alternate_Days,,None,Full_Board,3500,2017-07-17,"May 23, 2019",False,0.6,2.12,South_Indian,0.205,False,1033.0
S1049,Kabir Soman,2017,5,PhD,CH,MH_A,Maharashtra,West,Veg,,Flexible,,Full_Board,3500,2017-07-06,2016-06-16,False,0.664,3.33,,0.568,,814.0
S1050,Alka Wable,2017,5,B.Tech,BT,MH_B,Tripura,Northeast,Veg,,Strict,None,Lunch_Dinner,3500,11/07/2017,2021-05-17,False,0.713,2.71,No_Preference,0.217,True,1112.0
S1051,Siddharth Zacharia,2017,5,PhD,CSE,MH_B,Gujarat,West,Vegan,,,,Lunch_Dinner,3500,2017-07-14,16/05/2022,False,0.823,3.23,North_Indian,0.217,False,104.0
S1052,Devika Rastogi,2017,5,B.Tech,CSE,MH_G,Punjab,North,Non_Veg,Weekly_Once,,,Full_Board,3500,2017-07-17,2021-05-15,False,0.674,2.79,South_Indian,0.321,False,139.0
S1053,Raksha Varughese,2017,5,B.Tech,CH,MH_A,Uttar Pradesh,North,Veg,,Indifferent,,Custom,3500,07/07/2017,2021-05-21,False,0.755,3.27,South_Indian,0.177,False,192.0
S1054,Jai Kota,2017,5,PhD,ME,MH_B,Mizoram,Northeast,Veg,,Flexible,,Full_Board,3500,"July 14, 2017",2022-05-29,False,0.748,2.63,No_Preference,0.325,False,227.0
S1055,Devansh Nigam,2017,5,B.Tech,ECE,MH_B,Uttarakhand,North,Non_Veg,Alternate_Days,,,Full_Board,3500,"July 14, 2017",2021-05-17,False,0.706,2.9,,0.129,,170.0
S1056,Victor Kannan,2017,5,B.Tech,EE,MH_A,Karnataka,South,Non_Veg,Rarely,,,Full_Board,3500,2017-07-03,28/05/2021,False,0.544,2.34,,0.355,,1706.0
S1057,Ekavir Bhargava,2017,5,B.Tech,Other,MH_B,Bihar,North,Veg,,Indifferent,,Full_Board,3500,2017-07-19,"May 17, 2021",False,0.652,1.61,North_Indian,0.526,False,254.0
S1058,Ekansh Balay,2017,5,B.Tech,ECE,MH_B,Chhattisgarh,Central,Non_Veg,Daily,,None,Custom,3500,2017-07-12,2021-05-29,False,0.552,2.67,North_Indian,0.119,,295.0
S1059,Ekavir Varkey,2017,5,M.Tech,EE,MH_B,Haryana,North,Veg,,Flexible,None,Lunch_Dinner,3500,2017-07-06,2019-05-23,False,0.747,2.38,North_Indian,0.509,False,242.0
S1060,Arya Sunder,2017,5,M.Tech,ECE,MH_B,Bihar,North,Veg,,Flexible,None,Full_Board,3500,18/07/2017,2019-05-15,False,0.577,3.28,No_Preference,0.077,False,422.0
S1061,Kevin Solanki,2017,5,B.Tech,BT,MH_B,Bihar,North,Veg,,Strict,None,Full_Board,3500,"July 15, 2017",2017-04-14,False,0.759,2.67,South_Indian,0.417,,1791.0
S1062,Urvashi Ray,2017,5,B.Tech,ME,MH_B,Karnataka,South,Veg,,Strict,None,Lunch_Dinner,3500,2017-07-05,2021-05-25,False,0.728,2.43,South_Indian,0.205,False,397.0
S1063,Girindra Chatterjee,2017,5,PhD,CE,MH_B,Madhya Pradesh,Northeast,Veg,,Strict,,Full_Board,3500,2017-07-16,2022-05-21,False,0.592,2.9,South_Indian,0.455,True,3000.0
S1064,Irya Sampath,2017,5,B.Tech,CSE,MH_B,Gujarat,West,Veg,,Flexible,Nut,Lunch_Dinner,3500,"July 01, 2017",2021-05-23,False,0.924,2.94,Continental,0.394,,483.0
S1065,Unni Bhagat,2017,5,B.Tech,CE,MH_A,Haryana,North,Veg,,Flexible,None,Lunch_Dinner,3500,2017-07-11,2017-05-13,False,0.662,3.5,,0.05,False,720.0
S1066,Darsh Rau,2017,5,B.Tech,CSE,MH_B,Maharashtra,West,Veg,,Flexible,None,Lunch_Dinner,3500,04/07/2017,"May 22, 2021",False,0.836,4.57,No_Preference,0.429,False,781.0
S1067,Ikbal Kothari,2017,5,B.Tech,CSE,MH_B,West Bengal,East,Non-Veg,Alternate_Days,,None,Full_Board,3500,2017-07-13,"May 18, 2021",False,0.613,2.68,No_Preference,0.625,True,50.0
S1068,Ranveer Yadav,2017,5,M.Tech,CH,MH_B,Nagaland,Northeast,Non_Veg,Rarely,,,Full_Board,3500,13/07/2017,2019-05-28,False,0.906,4.02,North_Indian,0.332,False,215.0
S1069,Logan Sami,2017,5,B.Tech,ME,MH_B,Andhra Pradesh,South,Vegan,,,,Full_Board,3500,2017-07-06,2021-05-23,False,0.888,3.05,No_Preference,0.309,False,188.0
S1070,Arya Shere,2017,5,B.Tech,EE,MH_B,Telangana,South,Non_Veg,Daily,,None,Full_Board,3500,2017-07-02,"May 29, 2021",False,0.626,3.81,North_Indian,0.113,False,162.0
S1071,Faqid Savant,2017,5,B.Tech,CSE,MH_B,Bihar,North,Veg,,Strict,None,Full_Board,3500,2017-07-06,2021-05-26,False,0.623,4.27,,0.485,,445.0
S1072,Chandresh Zachariah,2017,5,B.Tech,CSE,MH_A,Telangana,South,Non_Veg,Daily,,None,Custom,3500,2017-07-03,2021-05-24,False,0.647,2.6,,0.183,False,436.0
S1073,Girik Khalsa,2017,5,B.Tech,BT,MH_A,Kerala,South,Non_Veg,Alternate_Days,,,Full_Board,3500,2017-07-06,2021-05-19,False,0.806,2.83,No_Preference,0.317,True,52.0
S1074,Niharika Sunder,2017,5,B.Tech,CSE,MH_A,Telangana,South,Non_Veg,Alternate_Days,,,Lunch_Dinner,3500,19/07/2017,2021-05-25,False,0.733,2.86,No_Preference,0.329,False,1937.0
S1075,Tanay Rattan,2017,5,B.Tech,ME,MH_G,Uttar Pradesh,North,Veg,,Strict,None,Breakfast_Only,3500,"July 14, 2017",2017-03-22,False,0.856,4.68,South_Indian,0.192,False,726.0
S1076,Nitesh Raghavan,2017,5,M.Tech,ECE,MH_A,Uttar Pradesh,North,Veg,,Flexible,None,Full_Board,3500,2017-07-03,16/05/2019,False,0.798,3.23,No_Preference,0.178,False,1163.0
S1077,Madhavi Lanka,2017,5,B.Tech,CE,MH_A,Bihar,North,Veg,,Strict,None,Full_Board,3500,"July 15, 2017",29/05/2021,False,0.755,3.33,North_Indian,0.789,True,433.0
S1078,Bhavika Sampath,2017,5,M.Tech,CE,MH_B,Punjab,North,Veg,,Flexible,None,Full_Board,3500,13/07/2017,2019-05-15,False,0.759,2.82,South_Indian,0.181,True,622.0
S1079,Mohammed Gupta,2017,5,B.Tech,CSE,MH_B,Tamil Nadu,South,Veg,,Strict,,Breakfast_Only,3500,2017-07-16,29/05/2021,False,0.614,3.55,South_Indian,0.464,,306.0
S1080,Teerth Bhardwaj,2017,5,B.Tech,Other,MH_A,Odisha,East,Veg,,Flexible,None,Full_Board,3500,2017-07-03,2021-05-28,False,0.646,3.51,Continental,0.343,True,212.0
S1081,Dipta Bhandari,2017,5,B.Tech,CH,MH_G,Punjab,North,Veg,,Strict,None,Custom,3500,2017-07-07,28/05/2021,False,0.699,2.02,North_Indian,0.397,,76.0
S1082,Vansha Thakkar,2017,5,M.Tech,ECE,MH_B,Karnataka,South,Eggetarian,Weekly_Once,,,Full_Board,3500,2017-07-17,"May 27, 2019",False,0.696,3.14,No_Preference,0.482,,231.0
S1083,Dakshesh Trivedi,2017,5,M.Tech,EE,MH_A,Madhya Pradesh,Central,Non_Veg,Alternate_Days,,None,Breakfast_Only,3500,13/07/2017,"May 21, 2019",False,0.673,2.44,North_Indian,0.573,,70.0
S1084,Quincy Biswas,2017,5,B.Tech,ME,MH_B,Uttar Pradesh,North,Veg,,Flexible,,Full_Board,3500,2017-07-15,2021-05-23,False,1.1365376392079023,3.72,South_Indian,0.397,False,146.0
S1085,Wahab Raval,2017,5,B.Tech,BT,MH_B,Himachal Pradesh,North,Veg,,Indifferent,,Full_Board,3500,2017-07-11,23/05/2021,False,0.919,3.17,North_Indian,0.222,,242.0
S1086,Yatin Baral,2017,5,M.Tech,CH,MH_A,Madhya Pradesh,Central,Eggetarian,Alternate_Days,,,Custom,3500,2017-07-09,2019-05-19,False,0.718,1.19,North_Indian,0.378,True,673.0
S1087,Oni Virk,2017,5,B.Tech,BT,MH_A,Uttar Pradesh,North,Veg,,Strict,None,Lunch_Dinner,3500,2017-07-14,29/05/2021,False,0.867,3.16,North_Indian,0.218,False,716.0
S1088,Advika Jayaraman,2017,5,PhD,EE,MH_A,Tripura,Northeast,Veg,,Indifferent,None,Custom,3500,13/07/2017,15/05/2022,False,0.646,1.25,North_Indian,0.331,False,568.0
S1089,William Lanka,2017,5,B.Tech,BT,MH_A,Bihar,North,Veg,,Strict,,Full_Board,3500,2017-07-03,2021-05-27,False,0.528,2.96,North_Indian,0.53,,305.0
S1090,Karan Mital,2017,5,B.Tech,BT,MH_A,West Bengal,East,Non_Veg,Alternate_Days,,None,Lunch_Dinner,3500,"July 12, 2017",2021-05-22,False,0.715,3.77,North_Indian,0.091,,667.0
S1091,Diya Bora,2017,5,B.Tech,ME,MH_G,Meghalaya,Northeast,Non_Veg,Daily,,,Full_Board,3500,2017-07-17,2021-05-29,False,0.781,4.14,No_Preference,0.086,False,177.0
S1092,Tara Chaudhry,2017,5,B.Tech,CSE,MH_B,Tamil Nadu,South,Veg,,Strict,None,Full_Board,3500,"July 13, 2017","May 25, 2021",False,0.559,3.48,South_Indian,0.399,True,693.0
S1093,Tanay Toor,2017,5,M.Tech,CH,MH_G,Madhya Pradesh,Central,Veg,,Flexible,Gluten,Custom,3500,"July 08, 2017","May 18, 2019",False,0.671,2.01,North_Indian,0.468,False,186.0
S1094,Kevin Palla,2017,5,M.Tech,Other,MH_A,Bihar,North,Veg,,Strict,,Custom,3500,2017-07-04,20/05/2019,False,0.648,2.34,South_Indian,0.605,True,1160.0
S1095,Yash Pingle,2017,5,M.Tech,CE,MH_G,West Bengal,East,Non_Veg,Daily,,None,Full_Board,3500,"July 13, 2017",2019-05-26,False,0.633,3.88,,0.54,False,838.0
S1096,Nakul Sarma,2017,5,B.Tech,ECE,MH_A,West Bengal,East,Non_Veg,Rarely,,None,Full_Board,3500,"July 16, 2017",28/05/2021,False,0.675,1.81,North_Indian,0.218,False,682.0
S1097,Abhiram Mistry,2017,5,M.Tech,CH,MH_A,Uttarakhand,North,Veg,,Strict,None,Full_Board,3500,2017-07-19,"May 18, 2019",False,0.908,1.0,,0.167,,238.0
S1098,Krish Lalla,2017,5,M.Tech,BT,MH_A,Tamil Nadu,South,Veg,,Flexible,,Lunch_Dinner,3500,19/07/2017,2019-05-29,False,1.244958296003825,4.13,Continental,0.376,False,192.0
S1099,Hredhaan Dugal,2017,5,PhD,Other,MH_A,Assam,Northeast,Non_Veg,Weekly_Once,,None,Breakfast_Only,3500,2017-07-12,2022-05-26,False,0.776,5.0,South_Indian,0.139,,475.0
S1100,Baghyawati Kade,2017,5,B.Tech,CSE,MH_B,Uttar Pradesh,North,Vegan,,,,Full_Board,3500,2017-07-08,27/05/2021,False,0.486,3.5,North_Indian,0.626,True,2391.0
S1101,Samar Lalla,2017,5,PhD,ECE,MH_G,Andhra Pradesh,South,Veg,,Indifferent,None,Full_Board,3500,2017-07-12,26/05/2022,False,0.619,2.91,North_Indian,0.103,,554.0
S1102,Zayan Behl,2017,5,B.Tech,EE,MH_G,Punjab,North,Vegan,,,None,Full_Board,3500,2017-07-08,2021-05-16,False,0.608,4.04,North_Indian,0.331,True,1536.0
S1103,Pallavi Malhotra,2017,5,PhD,CSE,MH_B,West Bengal,East,Non-Veg,Alternate_Days,,Others,Lunch_Dinner,3500,2017-07-06,2016-07-16,False,0.586,2.78,North_Indian,0.303,False,457.0
S1104,,2017,5,B.Tech,EE,MH_B,Punjab,North,Veg,,Flexible,None,Full_Board,3500,10/07/2017,"May 23, 2021",False,0.646,4.44,North_Indian,0.208,False,462.0
S1105,Aarush Nath,2017,5,M.Tech,CH,MH_B,Uttar Pradesh,North,Veg,,Flexible,,Full_Board,3500,04/07/2017,"May 17, 2019",False,0.849,2.45,North_Indian,0.176,,1226.0
S1106,Adweta Edwin,2017,5,M.Tech,CSE,MH_A,Rajasthan,North,Non_Veg,Alternate_Days,,,Full_Board,3500,2017-07-13,2019-05-22,False,0.634,2.65,No_Preference,0.187,,404.0
S1107,Prisha Andra,2017,5,B.Tech,CE,MH_B,Meghalaya,Northeast,Non_Veg,Weekly_Once,,,Full_Board,3500,"July 10, 2017","May 19, 2021",False,0.654,2.93,North_Indian,0.859,,785.0
S1108,Faqid Dixit,2017,5,B.Tech,CSE,MH_A,Haryana,North,Veg,,Flexible,None,Full_Board,3500,"July 03, 2017",27/05/2021,False,0.757,2.81,No_Preference,0.661,True,293.0
S1109,Kala Divan,2017,5,M.Tech,ME,MH_B,Maharashtra,West,Vegan,,,,Full_Board,3500,2017-07-01,03/09/2016,False,0.79,2.93,,0.086,False,727.0
S1110,Joshua Barman,2017,5,M.Tech,Other,MH_A,Andhra Pradesh,South,Veg,,Strict,None,Lunch_Dinner,3500,2017-07-13,2019-05-19,False,0.681,3.19,No_Preference,0.12,False,170.0
S1111,Janya Baral,2017,5,B.Tech,CSE,MH_A,Tamil Nadu,South,Non_Veg,Weekly_Once,,None,Full_Board,3500,2017-07-08,2021-05-15,False,0.659,3.91,,0.717,,1196.0
S1112,Shivansh Krish,2017,5,M.Tech,ME,MH_A,Bihar,North,Veg,,Strict,,Lunch_Dinner,3500,"July 11, 2017",2019-05-18,False,0.593,3.33,North_Indian,0.208,False,669.0
S1113,,2017,5,B.Tech,ECE,MH_A,Punjab,North,Veg,,Indifferent,None,Custom,3500,2017-07-07,2021-05-18,False,0.765,2.66,North_Indian,0.424,False,706.0
S1114,Irya Ray,2017,5,PhD,CSE,MH_A,Gujarat,West,Non_Veg,Weekly_Once,,None,Full_Board,3500,"July 09, 2017",2022-05-18,False,0.717,4.03,South_Indian,0.545,,274.0
S1115,Warjas Gaba,2017,5,B.Tech,ECE,MH_A,Telangana,South,Veg,,Strict,,Full_Board,3500,09/07/2017,23/05/2021,False,0.868,2.19,North_Indian,0.579,True,2978.0
S1116,Nitara Bakshi,2017,5,B.Tech,CSE,MH_B,Odisha,East,Non_Veg,Daily,,None,Full_Board,3500,2017-07-02,2016-07-24,False,0.595,3.46,North_Indian,0.508,False,266.0
S1117,Gaurangi Sabharwal,2017,5,PhD,EE,MH_A,Kerala,South,Non_Veg,Daily,,,Lunch_Dinner,3500,2017-07-15,2022-05-15,False,0.791,2.38,No_Preference,0.125,False,966.0
S1118,Amara Dutta,2017,5,PhD,CSE,MH_B,Uttar Pradesh,North,Vegan,,,None,Full_Board,3500,2017-07-16,2022-05-29,False,0.801,1.74,South_Indian,0.272,,369.0
S1119,Lavanya Barad,2017,5,B.Tech,CE,MH_A,Himachal Pradesh,North,Non_Veg,Rarely,,None,Full_Board,3500,13/07/2017,"May 16, 2021",False,0.661,2.75,,0.308,False,232.0
S1120,Tristan Iyengar,2017,5,B.Tech,ECE,MH_B,Himachal Pradesh,North,Non_Veg,Alternate_Days,,Nut,Breakfast_Only,3500,2017-07-04,"May 24, 2021",False,0.714,5.0,North_Indian,0.313,False,168.0
S1121,Inaya Mody,2017,5,B.Tech,ME,MH_A,Uttarakhand,North,Veg,,Flexible,,Full_Board,3500,12/07/2017,2021-05-24,False,0.774,2.09,North_Indian,0.824,False,147.0
S1122,Udant Bajwa,2017,5,B.Tech,ECE,MH_G,Madhya Pradesh,Central,Veg,,Strict,None,Full_Board,3500,"July 13, 2017",2021-05-28,False,0.565,4.57,No_Preference,0.101,False,192.0
S1123,Mohini Narasimhan,2017,5,B.Tech,ECE,MH_B,TAMIL NADU,South,Veg,,Strict,None,Full_Board,3500,"July 01, 2017",19/05/2021,False,0.617,2.65,No_Preference,0.346,,1867.0
S1124,Ekaraj Mallick,2017,5,B.Tech,ME,MH_G,Odisha,East,Veg,,Strict,,Lunch_Dinner,3500,"July 18, 2017",2016-09-27,False,0.874,3.68,Continental,0.445,True,341.0
S1125,Yashodhara Ratta,2017,5,B.Tech,CE,MH_A,Uttar Pradesh,North,Veg,,Flexible,,Lunch_Dinner,3500,2017-07-09,28/05/2021,False,0.817,4.29,North_Indian,0.205,False,1172.0
S1126,Ayaan D’Alia,2017,5,M.Tech,CSE,MH_B,West Bengal,East,Non_Veg,Weekly_Once,,,Lunch_Dinner,3500,11/07/2017,2019-05-15,False,0.57,2.84,,0.663,False,528.0
S1127,Pranav Lanka,2017,5,B.Tech,ECE,MH_A,Andhra Pradesh,South,Veg,,Flexible,None,Full_Board,3500,"July 13, 2017",22/05/2021,False,0.582,3.09,South_Indian,0.063,True,322.0
S1128,Ikbal Saraf,2017,5,B.Tech,CH,MH_B,Kerala,South,Non_Veg,Daily,,None,Full_Board,3500,"July 11, 2017",2021-05-25,False,0.599,4.15,North_Indian,0.183,False,1107.0
S1129,Dipta Sarin,2017,5,M.Tech,EE,MH_G,Tamil Nadu,South,Non_Veg,Weekly_Once,,None,Breakfast_Only,3500,2017-07-02,26/05/2019,False,0.864,1.46,,0.165,,1665.0
S1130,,2017,5,B.Tech,CE,MH_G,Karnataka,South,Veg,,Flexible,None,Lunch_Dinner,3500,2017-07-13,"May 27, 2021",False,0.692,2.77,Continental,0.665,,475.0
